iteration,logZs,elbos,Ts
10,-3.3727126949997106,-5.255290323468257,52
20,-3.865512669185247,-5.664526642041822,45
30,-3.7303053012248193,-5.460909957366762,46
40,-3.248509983406004,-5.004348894710955,46
50,-5.085549004181402,-6.343350094790992,40
60,-2.9980412545141135,-5.320151348607007,50
70,-5.048441726622704,-6.8161622275000155,39
80,-3.052444248181176,-5.256888794216677,51
90,-3.478675272872422,-5.8028178735818905,46
100,-3.9450567820342073,-5.905983840266599,45
110,-1.351179573547968,-4.918552583877862,56
120,-4.346351441720185,-6.181137785136084,41
130,-3.776977277859393,-6.059298029737628,45
140,-3.8781240728657425,-5.871948635186467,44
150,-4.4225774314768165,-6.125210600132963,44
160,-3.2830585431764545,-5.405338608497019,51
170,-4.123730022403525,-5.7355046321332255,48
180,-5.008079411729222,-6.206307381457292,41
190,-4.390279248552049,-6.47973779150504,39
200,0.11544272335917682,-4.532167642114486,56
210,-4.898811594676982,-6.157639116566237,45
220,-4.360103339045945,-6.159503872023729,45
230,-3.7592176952442355,-5.654781010531506,46
240,-3.5348443663716607,-6.092294649095988,47
250,-3.069056937481502,-5.869074698961966,46
260,-2.1624724906133643,-4.829340006556117,49
270,-2.6804506347996373,-6.350161272733293,43
280,-5.0822183962742695,-6.691617871238489,40
290,-2.2941321986053334,-5.562694476167328,47
300,-3.1444008091491105,-5.013320074288965,50
310,-3.4453376836509233,-5.692818711150563,43
320,-3.0120931801376942,-5.763034976074335,44
330,-2.4830237462484606,-5.346882196683554,48
340,-4.655007804625246,-6.237349593773492,40
350,-1.0673332798864696,-5.391276474233712,51
360,-4.57986572777721,-5.840494291687919,44
370,-2.675568814152501,-5.114463050853555,53
380,-4.058453756526023,-5.7620866504316055,47
390,-4.6603567677447755,-6.289269586003844,42
400,-4.197680666537019,-5.475782587925946,46
410,-2.5936666923729836,-5.257911127365495,48
420,-3.4618933354783503,-5.5988887309526865,47
430,-4.245394210143287,-6.386920672956026,39
440,-3.3899999693900913,-5.767052095891043,46
450,-4.63394220683254,-5.925648955257764,44
460,-4.623922914085011,-5.950792204696983,43
470,-2.3745324688703504,-4.927030705027243,52
480,-3.455890957678218,-5.58119421373058,47
490,-3.388461338540864,-5.783500682084855,47
500,-0.5314699043819728,-5.115554824739686,53
510,-1.6312805661446608,-4.91242907421473,54
520,-5.634462827960938,-6.615232259322981,39
530,-5.916774417532702,-7.4536234064010625,34
540,-4.967634394161371,-6.222583332930588,44
550,-3.4542949146994846,-5.007176768583352,50
560,-4.753736867985537,-5.901890660038895,43
570,-3.0302065408894805,-5.088925228872006,48
580,-4.6645917828445915,-6.201927719068214,43
590,-4.040462242207164,-5.15742326907681,46
600,-4.702958921888382,-6.141818228196301,45
610,-4.380497950949591,-6.260834197710301,39
620,-1.2154231623315064,-4.943766122345732,52
630,-3.1121186839113584,-5.185561109121294,52
640,-2.4116261886230212,-4.933698002804504,49
650,-4.206587316241915,-6.115757508874487,43
660,-3.524649626222181,-6.00028456732567,44
670,-3.1167259628332054,-5.5483647619867575,44
680,-4.431397766463037,-6.32097854910689,44
690,-2.5567073894795587,-5.434121942153529,50
700,-3.652047543746038,-5.764917990162463,43
710,-4.118354151704908,-5.3858736317913065,44
720,-2.2165423288480226,-4.891616117575159,52
730,-4.066735977361389,-5.89321527669295,42
740,-4.5579619245192955,-5.849642115770323,45
750,-1.064413755897342,-6.3569679682827065,45
760,-2.9944132627512254,-5.473572334779431,46
770,-2.968853555909043,-5.6261627606190805,47
780,-3.2708799043647048,-4.9168271482622306,47
790,-2.549123579914526,-5.135297820805797,49
800,-4.107009614027566,-5.871261456700784,44
810,-4.597348576289257,-5.9653212694576245,43
820,1.2342926919468629,-5.382412746160739,52
830,-5.130786128204062,-6.142428475327407,40
840,-5.573829647406371,-6.557323962946285,40
850,-3.8901060817120268,-5.713348677524825,45
860,-1.4939862552280017,-5.282307980903171,50
870,-1.8292031097282377,-4.633692972255265,49
880,-2.435130151668824,-5.4723322237603655,48
890,-4.195193728172461,-5.537124097280649,43
900,-3.2619016311977744,-5.208227546916095,47
910,-3.928618004703157,-5.133037473057014,48
920,-2.208925940840525,-5.658101988129214,46
930,-4.597406936867846,-5.8016228563372225,42
940,-3.8177045535930647,-5.493568356147942,47
950,-4.634954096309391,-6.523644130098877,40
960,-5.6040873435971825,-6.5005471966306505,40
970,-5.384708488203621,-6.564058747931136,42
980,-3.5586219060835393,-5.248781422705176,46
990,-4.5672555417273095,-6.305510961075905,40
1000,-3.4283396358444533,-5.445145224419538,47
1010,-4.791504695942595,-5.833791450765388,42
1020,-3.4343205952676614,-5.245922144045841,44
1030,-3.5605359743517893,-5.665287097532042,47
1040,-5.823743097281515,-6.649290195257766,36
1050,-3.9668650672475625,-5.944484400026092,45
1060,-2.4610130864683613,-5.795482617531787,46
1070,-3.9579058376790783,-5.744873675377377,46
1080,-4.810394027426735,-6.200674113055901,43
1090,-3.673635235930899,-5.341469275452198,45
1100,-4.82918453521812,-6.236107085505743,43
1110,-4.376042229829184,-5.539485827612399,44
1120,-4.520153723630171,-5.983735465299392,44
1130,-3.7762700012705395,-6.203237850921491,41
1140,-4.86293470337754,-6.639249852826713,40
1150,-2.3340283788592595,-5.52448807839932,46
1160,-3.080900786281523,-5.027889734344657,49
1170,-2.4053549713301123,-5.561460674029416,47
1180,-3.334000045473397,-5.541448348428591,46
1190,-2.9268728877359544,-5.000865519919276,49
1200,-4.764791970664635,-6.460028469579806,42
1210,-2.2659535798683867,-4.921472218957095,52
1220,-1.1917686769335454,-5.214335159475329,46
1230,-4.846986108391631,-5.8755395169115205,43
1240,-5.544562557585443,-6.425951080047588,39
1250,-4.669625655570771,-5.754168725862302,43
1260,-5.521441749666636,-6.613745612236343,38
1270,-4.597603931164963,-5.943833420858493,46
1280,-5.713835282010044,-6.726899535177869,38
1290,-2.2267000295925508,-4.667174644011459,53
1300,-4.35693632789563,-6.098958869005862,46
1310,-2.9671446685658034,-5.514867570728552,46
1320,-3.2668570134050103,-5.259273509164476,49
1330,-1.8006669234108272,-4.955444353761618,50
1340,-4.186593716771041,-5.441533877958702,42
1350,-5.148908689572252,-6.178453343257294,41
1360,-3.413122256455501,-5.290203218677394,46
1370,-0.9529166105551727,-5.627958541871309,49
1380,-2.500349008485875,-5.503759536756589,47
1390,-2.7934575415161484,-5.0999817214985494,48
1400,-3.9288433278182153,-5.663335301924363,48
1410,-5.518339617773383,-6.636641160952087,39
1420,-1.9257283521292834,-4.777417226591599,52
1430,-4.697235879810079,-6.043586868888701,44
1440,-5.120969010747469,-6.233493799385284,42
1450,-3.128257898340769,-5.356684655472393,50
1460,-2.2126317250233223,-4.495320934208256,55
1470,-5.102396969683133,-6.0162975402387,43
1480,-3.732144572764799,-6.068860923693898,44
1490,-3.488291454928352,-5.608542925818612,45
1500,-5.14364499763729,-6.427250726900347,42
1510,-4.699156563854347,-5.977220506905492,41
1520,-3.7133310319332278,-5.420293101716301,46
1530,-3.199210027104631,-5.067719571410406,52
1540,-4.056143879058933,-5.379529554045863,46
1550,-4.221914917736813,-5.458983001033261,49
1560,-1.0766084568693493,-5.655244903689688,48
1570,-4.701873537399602,-5.605140891329672,49
1580,-4.549190924629346,-5.983620674458687,45
1590,-4.984374069148103,-6.099977024813047,41
1600,-3.4334030682884236,-5.833280054674058,44
1610,-0.695875594201095,-5.429681579763799,47
1620,-0.8919105800410985,-6.364349948980894,44
1630,-3.6397833901735877,-5.420066033572938,46
1640,-2.874000080634207,-5.684966047651528,46
1650,-4.730632885758572,-5.925945895664256,40
1660,-3.5214803856632435,-4.903308483358486,48
1670,-2.9436775104523143,-5.227296925090878,47
1680,-3.9488644720526844,-5.519609566521737,46
1690,-5.3000447341632855,-6.517014237579861,38
1700,-4.382884746226345,-6.420853375084023,44
1710,-2.903916303816648,-4.468328485500726,55
1720,-5.802466936650482,-6.676288781923418,36
1730,-1.9469682126275876,-5.006482641638398,49
1740,-1.7305215980635396,-5.299788229751467,49
1750,-5.179765539164731,-6.124365826512111,43
1760,-5.398961886647681,-6.605460190736072,37
1770,-4.4451059158044215,-6.213227198183201,41
1780,-5.048429144041911,-6.343974090193649,39
1790,-3.452303741470142,-5.383317893489694,46
1800,-4.196529741368568,-5.6543830493679,42
1810,-2.7640956992794408,-4.861485992535488,50
1820,-3.0319419330362907,-5.088516382993119,51
1830,-4.521855243030787,-6.101305463394633,43
1840,-4.951051194838474,-6.502168611679926,41
1850,-3.6703590605332295,-5.857507779221624,43
1860,-4.807620426879129,-5.911386509712643,43
1870,-4.932622111722942,-6.204807197338641,39
1880,-3.678134861490574,-5.706987089915982,47
1890,-4.545329874774549,-6.14963002805655,43
1900,-4.428146884240223,-5.768010400246359,45
1910,-3.577997637648912,-5.072180010061368,49
1920,-4.491070075506971,-5.925735068446763,40
1930,-2.7237468510141523,-5.518382155289172,47
1940,-3.2662234670361006,-5.623242007223269,46
1950,-2.9732243513720116,-4.894013895835639,54
1960,-3.6215949626216375,-5.865114877024389,44
1970,-5.044223320719748,-6.575517710939365,40
1980,-3.9466562183608103,-5.89807086500519,44
1990,-3.227257002377134,-5.207025762559248,48
2000,-3.6187177406995756,-5.681249919499696,46
2010,-3.382450318644127,-5.513610483021777,49
2020,-0.680700588842666,-4.7034205392055215,53
2030,-3.281575868756147,-5.773537285977081,44
2040,-4.6232678356898775,-5.85979269947663,48
2050,-2.138489654702771,-5.722773434871682,47
2060,0.9149951556901699,-5.668419353161262,53
2070,-4.407452593430981,-5.650224636183148,46
2080,-4.610258302386574,-6.1123059628759915,43
2090,-4.248686784409587,-5.629169427972305,46
2100,-4.066888955790834,-5.3541686025218125,48
2110,-1.4961479246355542,-4.778818160933015,47
2120,-3.6033989632563808,-5.679935664118439,46
2130,-4.979852434518928,-6.279328494095976,42
2140,-4.089805783615365,-5.8527215241784525,44
2150,-2.314401379959952,-5.013270860147115,49
2160,-4.762206851917775,-5.991291114333761,41
2170,-3.5494220701495354,-5.185708384891123,46
2180,-4.027371908292823,-6.012749846925497,43
2190,-3.7791859561711787,-5.284613934466898,49
2200,-4.345524798555631,-6.440163885496153,40
2210,-3.484299390011202,-6.0385595240312,46
2220,-4.800420641913439,-6.1868959029261905,41
2230,-2.8955300378229936,-5.184172345611701,54
2240,-5.096297814093718,-6.193569735387877,42
2250,-3.5044772333849616,-5.513705312660503,44
2260,-5.0242512102696,-6.886128160337651,38
2270,-2.4824508441858617,-5.91914828764235,40
2280,-3.565606181874844,-5.345780417695543,48
2290,-2.7748824617570005,-5.349965952386117,45
2300,-1.7863210679987882,-5.710472839587237,45
2310,-4.599003897628185,-5.947068592104063,47
2320,-4.347840695388118,-5.809372356463092,45
2330,-3.1253830270021394,-5.386375199877868,50
2340,-2.075730813993598,-5.516416657312732,48
2350,-4.510160242216816,-5.580551305931401,41
2360,-3.5387378559868123,-5.51160668266797,48
2370,-3.156688377766911,-5.166006671906613,49
2380,-4.638403223090266,-6.093365797498989,43
2390,-4.773069750985515,-5.855853246302712,46
2400,-4.977138993551748,-6.078387750383816,43
2410,-4.327218709045252,-5.920076215407799,46
2420,-4.412076398597553,-5.67867484795432,43
2430,-5.744872703423913,-6.732376560370921,39
2440,-4.4252238247776505,-6.133346123621749,43
2450,-4.33437920396746,-5.934583316666961,45
2460,-2.923786108773804,-4.862014789440746,51
2470,-4.428397362174961,-6.223110904098101,43
2480,-2.7061853583925988,-5.361328966018311,47
2490,-4.428735923415787,-5.711585861678619,46
2500,-3.918484840629971,-5.456388258947274,46
2510,-5.764383741408913,-6.626488698913374,36
2520,-5.312500387002029,-6.125436509135671,43
2530,-3.7966759271704076,-5.496368283289425,49
2540,-4.76986755942479,-6.580548967803852,43
2550,-4.0753078083410985,-5.6592048303397124,44
2560,-4.063662912845025,-5.72357365900758,46
2570,-3.528990468274955,-5.312809533151661,48
2580,-3.370843049475022,-5.969634022219849,44
2590,-4.188537691431799,-6.004944334571963,43
2600,-3.3828409071345673,-5.7725509092452985,51
2610,-3.2955913916444572,-5.191800141935689,50
2620,-4.711149829388456,-5.999571557446856,47
2630,-1.824169515052236,-5.182650776986013,48
2640,-3.984410629820448,-5.767133138956664,49
2650,-4.9892600834301355,-6.3350725842037585,42
2660,-3.0066222804216878,-5.950097235720186,48
2670,-3.874863058400094,-5.838899772220027,46
2680,-2.0894029752449526,-5.489294810751189,50
2690,-3.9933329735057983,-6.052569107409713,45
2700,-1.3467439561645391,-5.217503829872528,48
2710,-2.800380146168012,-4.994357019559319,51
2720,-2.857863837021121,-4.897585811890088,50
2730,-0.47415501040154995,-5.010335420695793,54
2740,-4.329270401877338,-6.069837218736453,45
2750,-3.5115276367929287,-5.767619449381744,43
2760,-3.712455550785761,-5.323769006018334,45
2770,-3.2746551395313968,-4.873588134735631,50
