iteration,logZs,elbos,Ts
10,-3.8289792854472444,-5.530344410014656,45
20,-4.458543303533241,-5.654447608160485,46
30,-4.036506625725938,-5.365587124253733,43
40,0.2270203379543001,-4.920189363059162,49
50,-5.167847522709957,-6.4456919713949725,41
60,-2.1122210675560757,-6.13938254039835,45
70,-5.185740345844703,-6.342979588371154,41
80,-3.4583011792872873,-5.0382120628536695,50
90,-3.1416971536878426,-5.401736078266206,46
100,-5.332131062329436,-6.447715071496328,42
110,-3.3290278052035385,-5.565058726667489,46
120,-3.88633485690181,-5.783700764801395,46
130,-4.333656798062364,-5.877229220175383,47
140,-3.3846931929989394,-5.863783987122954,46
150,-2.6251324344355025,-6.134788559318165,46
160,-4.1944478475902,-5.612785071121445,47
170,-1.5683755546281157,-4.633202066383891,55
180,-3.9969030331057027,-5.305867667603639,49
190,-2.9642657648823074,-6.022492344004378,46
200,-3.24635921316803,-5.565883185850022,46
210,-3.4178943837735813,-5.322341310805091,50
220,-5.056146525347232,-5.990207226479771,42
230,-4.437857355245658,-5.951974983358363,43
240,-3.99807938163939,-5.961945850280894,46
250,-5.059915214538792,-6.180263763388744,40
260,-4.0256656494719385,-5.5129122552746,46
270,-3.383694812193972,-6.024721745937168,47
280,-5.099904509927576,-6.516991361983164,38
290,-4.294634470624189,-6.059623487178032,43
300,-4.250701606178492,-5.75666403218642,46
310,-2.7699452184307614,-4.82858791731341,47
320,-4.75416363051161,-6.329924574569395,42
330,-3.8016711640227925,-5.604592204354962,44
340,-4.573559515613686,-6.2979344143310145,42
350,-3.90075922825379,-5.60707356742436,45
360,-3.2255038295555467,-5.283835335057473,45
370,-3.3222965378485183,-5.410868070953033,51
380,-2.4816686781468738,-5.583581741191596,49
390,-3.9052333833956387,-5.902888246458716,45
400,-3.014719823115099,-5.0345840142403455,47
410,-4.839619539413986,-6.031244138257422,41
420,-4.372024890396676,-6.0092292253955035,45
430,-4.284282674519629,-5.591272820066784,48
440,-4.5481367004310975,-6.448532773870464,44
450,-2.4852714010070818,-5.676749260168344,47
460,-4.440325554521008,-5.919279761496412,43
470,-4.3547171652277665,-5.398472158987364,50
480,-3.941297391364145,-5.6395887658546355,47
490,-4.88081537071598,-5.83503953045761,44
500,-4.08487452094327,-5.939298334517418,46
510,1.352221863653687,-5.053485792874868,52
520,-4.6259599605058135,-5.687434694201878,46
530,-4.972882086178077,-6.178957213651726,43
540,-4.444538160533075,-6.174948986506922,44
550,-4.0868259666838185,-5.383735922344816,50
560,-2.512288614530494,-5.907826965679753,45
570,-2.472161382184499,-4.934106979496319,49
580,-5.918910251691123,-6.82838813488429,36
590,-3.507610464126005,-5.528069881548213,45
600,-4.614625070263475,-6.132950229937887,44
610,-5.007393491732364,-6.0454543984001265,42
620,-3.1719115070704436,-5.936188341411095,44
630,-3.5372986441915533,-5.531544452920917,49
640,-4.0871300830498765,-5.662582443779588,45
650,-5.050484457956121,-6.232541892958679,42
660,-3.3009883213886964,-6.3164559001241445,42
670,-2.2254260462361204,-5.730486128059388,46
680,-2.3954940529521567,-6.618912542546732,43
690,-4.105606074006104,-6.098308394553206,46
700,-4.298808195892495,-5.525855967404124,48
710,-4.23335380646081,-5.47726519010858,45
720,-1.9914445104239604,-5.434415186377933,52
730,-4.650564817261759,-6.261593737098526,44
740,-3.8209498131665054,-5.782961062899529,45
750,-2.4284591698156386,-5.699970391499299,51
760,-4.717292360790757,-5.794679602993747,43
770,-4.106560114606599,-6.038440464520774,43
