iteration,logZs,elbos,Ts
10,-3.191581407364108,-5.280339183864539,47
20,-4.09664691787572,-5.611988936142548,44
30,-4.178989842388433,-5.964490209722168,44
40,-1.6079849780092061,-4.233892868689019,53
50,-4.362774673875554,-6.541088125549502,40
60,-3.114803411584665,-5.892785234508205,45
70,-3.5866305444755024,-6.447309874870452,40
80,-3.629313921385955,-4.912406082727312,53
90,-2.940588594340741,-5.286501641706233,49
100,-5.416575026245408,-6.497011536055365,42
110,0.1708235288782105,-5.189233029287032,52
120,-0.18149097183199503,-5.346027521653812,49
130,-3.9250691870913528,-6.273043246285934,46
140,-4.722105468176069,-6.001872316855905,43
150,-5.377594370160973,-6.227275577553609,45
160,-4.0658715370355525,-6.049612242802395,39
170,-3.846684820015856,-5.636790498763536,41
180,-4.248084602191662,-5.5753798809589945,45
190,-2.4821655875069917,-6.082696803698173,40
200,-2.7875768678173722,-5.328137476296737,46
210,-3.6185327783538312,-5.4288234348359525,49
220,-4.515343612623969,-5.913251691037348,43
230,-3.0337666055335744,-5.664604545198072,42
240,-4.500033234184874,-6.404660361964793,38
250,-3.3328098853714425,-6.031845561671689,46
260,-2.6973573485236244,-4.626490572223028,47
270,-1.6204616262272815,-5.317357997628776,53
280,-3.4620516225696782,-6.501264399755722,39
290,-5.310393886798135,-6.2451154081250655,39
300,-3.9676839504783707,-5.917316933236132,44
310,-3.3566637528775427,-5.208774818947243,44
320,-4.846639034443808,-6.228556257185867,43
330,-4.724594469582441,-5.9345612932118526,43
340,-3.970257879386344,-5.849407119018513,45
350,-4.669370153798399,-6.026899203895389,44
360,-3.550689242882987,-5.360427714470229,48
370,-3.0347229625187153,-5.059547824833959,52
380,-3.969425878930185,-6.019176772953955,44
390,-2.5670954785539375,-5.878383549724737,44
400,-4.764175236393279,-6.142926824137838,49
410,-0.6016541040431806,-4.931653825289448,48
420,-5.543349718268644,-6.678601027965498,42
430,-4.044509824234385,-5.305244371154731,46
440,-4.006326825102221,-6.141353806688221,44
450,-3.561778645577297,-5.654804592679167,47
460,-4.990751026461288,-6.093619229334573,47
470,-2.102917016770756,-5.4590892680894045,47
480,-3.8229491060505865,-5.963833144127637,41
490,-4.848288741943938,-5.879119457451867,47
500,-4.501632182528635,-6.050271209016867,46
510,-2.4428709730208316,-5.199093430275389,48
520,-4.29299719302835,-5.517986964048033,48
530,-2.708793474963885,-6.065868722303205,46
540,-3.784559024807028,-5.916007522479433,50
550,-4.248013393932074,-5.483183384723257,47
560,-3.651200943715608,-5.248348561577101,46
570,-3.46054196242539,-5.330099556369837,47
580,-3.6123448540129144,-6.167227336687705,42
590,-1.5889226958387717,-5.2584022373915,42
600,-4.540281814515127,-6.229639073853084,41
